2121,2349,1966,1
2124,2354,1966,1
2122,2357,1970,1
2122,2355,1966,1
2123,2347,1971,1
2123,2352,1971,1
2123,2347,1967,1
2119,2354,1966,1
2114,2350,1963,1
2123,2351,1966,1
2126,2351,1963,1
2123,2350,1975,1
2118,2348,1967,1
2116,2353,1971,1
2118,2351,1966,1
2126,2354,1969,1
2125,2351,1964,1
2123,2349,1965,1
2123,2357,1966,1
2123,2353,1966,1
2126,2353,1965,1
2119,2355,1966,1
2123,2351,1969,1
2126,2354,1967,1
2120,2350,1968,1
2123,2349,1964,1
2122,2350,1967,1
2124,2351,1963,1
2121,2349,1962,1
2115,2350,1966,1
2119,2357,1966,1
2124,2348,1970,1
2121,2350,1969,1
2119,2352,1966,1
2126,2347,1970,1
2123,2352,1964,1
2124,2348,1965,1
2124,2350,1967,1
2115,2354,1961,1
2121,2347,1962,1
2124,2353,1970,1
2123,2351,1967,1
2127,2352,1968,1
2123,2353,1964,1
2124,2347,1966,1
2124,2350,1968,1
2119,2357,1968,1
2126,2351,1965,1
2124,2353,1965,1
2124,2348,1967,1
2117,2351,1965,1
2124,2347,1964,1
2124,2347,1968,1
2123,2349,1965,1
2121,2351,1969,1
2123,2351,1965,1
2126,2350,1965,1
2125,2352,1958,1
2122,2354,1966,1
2120,2349,1963,1
2122,2350,1966,1
2121,2353,1974,1
2126,2352,1970,1
2126,2351,1963,1
2125,2347,1968,1
2123,2352,1963,1
2124,2349,1963,1
2125,2355,1967,1
2122,2355,1967,1
2124,2351,1968,1
2126,2354,1962,1
2121,2353,1962,1
2122,2346,1959,1
2124,2355,1963,1
2121,2346,1967,1
2118,2349,1962,1
2123,2351,1961,1
2124,2349,1961,1
2127,2349,1965,1
2129,2348,1967,1
2121,2348,1965,1
2119,2351,1967,1
2127,2350,1966,1
2121,2349,1960,1
2123,2350,1959,1
2121,2351,1963,1
2123,2351,1959,1
2124,2349,1963,1
2127,2351,1963,1
2120,2351,1966,1
2125,2350,1965,1
2122,2348,1970,1
2124,2343,1964,1
2129,2347,1965,1
2122,2348,1964,1
2123,2360,1966,1
2124,2352,1966,1
2129,2352,1967,1
2125,2350,1968,1
2123,2343,1963,1
2123,2350,1964,1
2123,2353,1961,1
2119,2348,1969,1
2124,2349,1968,1
2124,2353,1970,1
2115,2345,1960,1
2115,2347,1962,1
2119,2357,1960,1
2121,2350,1962,1
2120,2351,1963,1
2117,2350,1964,1
2122,2358,1967,1
2126,2353,1967,1
2120,2351,1963,1
2120,2350,1962,1
2122,2350,1968,1
2120,2349,1971,1
2118,2351,1964,1
2122,2349,1964,1
2126,2354,1964,1
2127,2352,1970,1
2118,2347,1969,1
2120,2351,1967,1
2123,2350,1967,1
2127,2349,1966,1
2126,2351,1967,1
2123,2344,1970,1
2123,2351,1971,1
2123,2350,1969,1
2123,2351,1963,1
2126,2353,1967,1
2127,2349,1966,1
2121,2351,1967,1
2125,2352,1963,1
2126,2353,1967,1
2124,2347,1971,1
2125,2353,1971,1
2127,2350,1972,1
2124,2350,1961,1
2129,2351,1961,1
2125,2345,1962,1
2123,2351,1966,1
2129,2355,1959,1
2128,2351,1962,1
2124,2353,1966,1
2123,2348,1960,1
2124,2350,1967,1
2119,2351,1965,1
2124,2352,1964,1
2121,2351,1965,1
2127,2349,1966,1
2122,2349,1965,1
2126,2347,1959,1
2125,2354,1961,1
2123,2351,1961,1
2121,2351,1962,1
2129,2348,1966,1
2119,2354,1963,1
2125,2349,1961,1
2123,2350,1958,1
2122,2353,1961,1
2121,2353,1966,1
2124,2355,1967,1
2122,2350,1964,1
2125,2348,1960,1
2120,2350,1962,1
2128,2349,1968,1
2122,2351,1964,1
2119,2348,1959,1
2128,2346,1962,1
2122,2352,1967,1
2119,2350,1962,1
2124,2352,1962,1
2126,2349,1961,1
2121,2351,1961,1
2122,2355,1962,1
2127,2353,1958,1
2126,2349,1965,1
2123,2347,1962,1
2125,2348,1965,1
2123,2348,1966,1
2118,2344,1961,1
2123,2352,1958,1
2124,2349,1966,1
2129,2348,1963,1
2120,2351,1968,1
2123,2355,1966,1
2127,2352,1965,1
2119,2349,1967,1
2122,2348,1965,1
2123,2348,1960,1
2125,2353,1960,1
2123,2351,1965,1
2125,2350,1966,1
2126,2350,1963,1
2123,2352,1962,1
2121,2350,1967,1
2120,2355,1966,1
2123,2347,1970,1
2116,2351,1963,1
